,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-08-25,226.48,229.3,226.23,227.16,30983133.0,226.60666666666668,228.41,1.5081556064738455,2.6124828548090235,-0.0026343519494204104
2025-08-26,226.87,229.49,224.69,229.31,54575107.0,228.07666666666668,228.08428571428573,1.1094292827119319,2.2695583795310594,0.009464694488466208
2025-08-27,228.61,230.9,228.26,230.49,31259513.0,228.98666666666668,228.02714285714288,1.6883818683398588,2.1908119825447296,0.005145872399808127
2025-08-28,230.82,233.41,229.335,232.56,38074700.0,230.78666666666666,228.31285714285715,1.645184893359667,2.6570015323408422,0.008980866848887104
2025-08-29,232.51,233.38,231.37,232.14,39418437.0,231.73,229.1885714285714,1.0942120452661601,2.7788992339387546,-0.001805985552115641
2025-09-02,229.25,230.85,226.97,229.72,44075638.0,231.47333333333333,229.87714285714284,1.5328839921334103,2.0373734258095557,-0.010424743689153027
2025-09-03,237.21,238.85,234.36,238.47,66061716.0,233.44333333333336,231.40714285714284,4.518255563083948,3.6026366006294603,0.038089848511231095
2025-09-04,238.45,239.8999,236.74,239.78,47549429.0,235.99,233.21,5.469341825119899,4.226669295478169,0.005493353461651473
2025-09-05,239.995,241.32,238.4901,239.69,54870397.0,239.31333333333336,234.69285714285712,0.7317331025308188,4.445536016747037,-0.00037534406539330156
2025-09-08,239.3,240.15,236.34,237.88,48999495.0,239.11666666666665,235.7485714285714,1.0719297240674754,4.148672191483155,-0.007551420584922197
2025-09-09,237.0,238.7805,233.36,234.35,66313918.0,237.30666666666664,236.00428571428571,2.7157749047627777,3.9707298117726353,-0.014839414831007258
2025-09-10,232.185,232.42,225.95,226.79,83440810.0,233.00666666666666,235.24,5.665724431468489,5.1717437420407855,-0.03225944100704081
2025-09-11,226.875,230.45,226.65,230.03,50208578.0,230.39,235.28428571428572,3.7928353510276884,5.117642221254489,0.014286344195070466
2025-09-12,229.22,234.51,229.02,234.07,55824216.0,230.29666666666665,234.65571428571428,3.6473186498219,4.9278387999304405,0.017562926574794524
2025-09-15,237.0,238.19,235.03,236.7,42699524.0,233.6,234.21571428571428,3.3597470142862806,4.514184522675884,0.011235955056179803
2025-09-16,237.175,241.22,236.3235,238.15,63421099.0,236.3066666666667,233.99571428571429,2.068244021710028,4.231610635613012,0.006125897760878907
2025-09-17,238.97,240.1,237.7301,238.99,46508017.0,237.94666666666663,234.15428571428575,1.158461623593764,4.418113689283378,0.0035271887465881946
2025-09-18,239.97,241.2,236.65,237.88,44249576.0,238.34,234.6585714285714,0.5788782255416008,4.640059010298494,-0.004644545796895327
2025-09-19,241.225,246.3,240.2106,245.5,163741314.0,240.79,237.33142857142857,4.116564101287217,4.739794048168378,0.03203295779384563
